AppID,Name,Release date,Estimated owners,Peak CCU,Required age,Price,DiscountDLC count,Reviews,Mac,Linux,Metacritic score,Positive,Negative,Score rank,Recommendations,Average playtime two weeks,Median playtime forever,Median playtime two weeks,Developers,Publishers,Categories,Genres_x,rating,owners_min,owners_max,year,ID,Title,ReleaseDate,Rating,Genres_y,Platforms,Metascore,Userscore,Developer,Publisher
3187540,outrun,2024-12-13,0 - 20000,0,0,2.99,70,"['English', 'Spanish - Spain']",True,False,False,0,24,5,0,0,0,0,0,DeanTheDev,DeanTheDev,"Single-player,Family Sharing",0.0,0,20000,2024,816.0,outrun,2015-03-12,E,Auto Racing,"3DS,Nintendo Switch",87.0,78.0,m2,sega
2104880,undead inc.,2024-05-02,0 - 20000,1,0,4.99,75,[],True,False,False,0,56,105,31,0,0,0,0,Rightsized Games,Team17,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",0.0,0,20000,2024,11690.0,undead inc.,2024-05-02,Unknown,Tycoon,PC,59.0,0.0,right sized games,team17
820540,bloodroots,2021-03-12,20000 - 50000,0,0,4.99,75,[],True,False,False,0,191,23,33,8,0,8,0,Paper Cult,Paper Cult,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Family Sharing",0.0,20000,50000,2021,5778.0,bloodroots,2020-02-28,T,3D Beat-'Em-Up,"PC,PlayStation 4,Nintendo Switch",75.0,68.0,paper cult,"paper cult,super rare games"
1506440,batora: lost haven,2022-10-20,0 - 20000,0,0,2.49,90,"['English', 'Traditional Chinese']",True,False,False,0,270,134,30,170,0,191,0,Stormind Games,Team17,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Family Sharing",0.0,0,20000,2022,8484.0,batora: lost haven,2022-10-20,Unknown,Action RPG,"PC,PlayStation 5,Xbox Series X",69.0,68.0,stormind games,team17
396710,the adventure pals,2018-04-03,200000 - 500000,5,0,1.49,90,['English'],True,True,False,0,1724,145,31,625,0,413,0,Massive Monster,Armor Games Studios,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together,Family Sharing",0.0,200000,500000,2018,4571.0,the adventure pals,2018-04-03,E10+,2D Platformer,"PC,PlayStation 4,Xbox One,Nintendo Switch",77.0,77.0,massive monster,"armor games,super rare games"
245370,etherium,2015-03-25,100000 - 200000,0,0,0.99,90,"['English', 'Russian']",True,False,False,0,349,597,65,216,0,262,0,Tindalos Interactive,Focus Entertainment,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing",0.0,100000,200000,2015,10973.0,etherium,2015-03-25,Unknown,Real-Time Strategy,PC,62.0,63.0,tindalos interactive,focus home interactive
6870,battlestations: midway,2007-03-15,500000 - 1000000,2,0,0.97,86,[],True,False,False,0,712,202,0,186,0,65,0,Eidos Interactive,Square Enix,"Single-player,Family Sharing",0.0,500000,1000000,2007,6579.0,battlestations: midway,2007-01-30,T,Real-Time Strategy,"PC,Xbox 360",73.0,52.0,eidos interactive,"eidos interactive,square enix,spike"
1057750,the suicide of rachel foster,2020-02-19,100000 - 200000,5,0,1.79,0,"['English', 'Polish']",True,False,False,0,4394,2006,11,176,0,153,0,ONE-O-ONE GAMES,Daedalic Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on TV,Family Sharing",0.0,100000,200000,2020,10566.0,the suicide of rachel foster,2020-02-19,Unknown,First-Person Adventure,"PC,PlayStation 4,Xbox One",63.0,66.0,one-o-one games,daedalic entertainment
303800,the witcher adventure game,2014-11-27,100000 - 200000,1,0,1.49,85,[],True,True,False,0,1029,323,37,95,0,13,0,"CD PROJEKT RED,Can Explode",CD PROJEKT RED,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Camera Comfort,Color Alternatives,Custom Volume Controls,Mouse Only Option,Playable without Timed Input,Stereo Sound,Touch Only Option,Steam Leaderboards,Remote Play Together,Family Sharing",0.0,100000,200000,2014,9115.0,the witcher adventure game,2014-11-27,Unknown,Board,"iOS (iPhone/iPad),PC",68.0,57.0,can explode,cd projekt red studio
3817040,simogo legacy collection,2025-12-01,0 - 0,0,0,14.99,0,['English'],True,False,True,0,0,0,9,0,0,0,0,Simogo,Simogo,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",,0,0,2025,600.0,simogo legacy collection,2025-12-02,Unknown,Compilation,Nintendo Switch 2,88.0,0.0,simogo,simogo
1062810,inkbound,2024-04-09,200000 - 500000,178,0,8.99,0,"['English', 'Simplified Chinese']",True,False,False,0,3225,468,39,1616,0,930,0,Shiny Shoe,Shiny Shoe,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Custom Volume Controls,Mouse Only Option,Playable without Timed Input,Steam Cloud,Family Sharing",0.0,200000,500000,2024,3179.0,inkbound,2024-04-10,Unknown,Turn-Based Tactics,PC,80.0,63.0,shiny shoe,shiny shoe
892210,gungrave vr,2019-03-06,0 - 20000,0,0,4.99,80,"['English', 'Japanese', 'Korean']",True,False,False,0,7,9,13,0,0,0,0,"IGGYMOB Co.,Ltd","XSEED Games,Marvelous USA, Inc.","Single-player,Steam Achievements,VR Only,Steam Trading Cards,Family Sharing",0.0,0,20000,2019,13577.0,gungrave vr,2018-12-11,T,Light Gun,PlayStation 4,41.0,41.0,iggymob,"xseed games,iggymob,blueside,marvelous inc."
